userID,group,method,verified
mpr_2fIsubuQ3UUhxkVKnYRolrT5V8W,A,Sms,1
mpr_2fIxfXdLkb6V3KhpBxcDPSOBvdy,B,Sms,1
mpr_2fIxtpuwzkHZRpwp0Pj58thAhmE,C,Whatsapp,1
mpr_2fJ22pkrMvue5CjT7VzqRJWm07b,A,Sms,1
mpr_2fJ4iTrbaA3ZLBqAEpFOp4l4S8g,A,Sms,0
mpr_2fJ5MjvrK0sFCIFI82QnHydW5gB,B,Sms,1
mpr_2fJ8Cdsg9Icbd0YCboXqZ7k5IzM,B,Sms,1
mpr_2fHjUUMfqymyqQVKs0AZIBf8piC,A,Sms,1
mpr_2fJDuouV5nSccYTes8DLZuHhQdI,B,Sms,1
mpr_2fJEZAaesSOxqPBKJQQq9wbmqmI,A,Sms,1
mpr_2fJHlU22EeKhyowkfqGNzDFZRlX,C,Whatsapp,1
mpr_2fJIOMw0M4Qjtj98c7rrSRYFHq4,A,Sms,0
mpr_2fJKS7TnFqWI3xRrinm4iHteBjg,B,Sms,1
mpr_2fJKfU25YSA7w1xCu7wn0lSbxHm,C,Whatsapp,1
mpr_2fJKnsWIuYApC5Ou898r67na29A,B,Sms,1
mpr_2fJHQ0NHSgpisnfMY4JYkQLGonG,A,Sms,1
mpr_2fJMeFAyIRN8hjN4F5gkIJzuopf,B,Whatsapp,1
mpr_2fJOueXBE3a84m1u0zqImB6zRt8,C,Sms,1
mpr_2fJTMmhVumborO6bzp6qu7KMTjm,A,Sms,1
mpr_2fOnqiIZl29dQsYDSUKfSVOLMa6,A,Sms,1
mpr_2fOodDc8Z7nIeILJK439mIpUdbO,B,Sms,1
mpr_2fOreZ3qWqKkhowzGHj667opJAU,B,Sms,1
mpr_2fOsW0QNIaGwozGnDYp36VLqM57,B,Sms,1
mpr_2fOsrGU6fXldysKOENb1xEF5jKU,B,Whatsapp,1
mpr_2fOulWzYvPxPvUD5NM8T29RpwKa,A,Sms,0
mpr_2fOyTUS9hTejNkdeQOr3Ba6TnNJ,C,Sms,1
mpr_2fP2CCwXULsIgT9WXOJlybC7KP1,B,Sms,1
mpr_2fP2ZhNIeTU4pC9bq5zMVgcFhCS,B,Sms,1
mpr_2fP3hWq23v7WsYF6RCWNifSz6Cj,B,Sms,1
mpr_2fFtWIAW3O1u8JVMfuelk7jG4yM,B,Sms,1
mpr_2fFuv6nmF7zZ7QF8HFs6bRs7IEp,A,Sms,0
mpr_2fFyoR6UA3rzb61fghC9dWOLuRp,B,Sms,1
mpr_2fG1CYu3kou1zBsCmAxwFf0mllb,C,Whatsapp,1
mpr_2fG629DLVIYvEEQeW4EmCg1gOte,C,Whatsapp,1
mpr_2fG6sjGV3G0uatovCnXdt5fWgYc,B,Sms,1
mpr_2fG5ZO0AtFacS9RVelIXCbBBtWh,C,Whatsapp,1
mpr_2fGECTm2x0ftH4Q5pZ7iY2PrS86,A,Sms,1
mpr_2fGF5mEjUwAsmEAJwFO0u2RibX2,C,Whatsapp,1
mpr_2fGFRfkh6bsm42EbTgamp2NVVUW,A,Sms,0
mpr_2fGI6DHUi3Dn1V0NX45IBMSHTyd,B,Sms,0
mpr_2fGLV03LTurVix2qH0VNAh9MNhy,B,Sms,1
mpr_2fGJgkyMt3biT4rddgzrQUyZmPw,C,Whatsapp,1
mpr_2fGNRJmZZdzEpTK1rTbPxJlHSsP,A,Sms,0
mpr_2fGS4vfGN0f5pqmaFyxLbPPDrJn,B,Sms,1
mpr_2fGSYD12pLxz3oeDaEQaRJ3iqqm,C,Whatsapp,1
mpr_2fGU5BE0Cpu5x76j3EAeoegaVLc,C,Sms,1
mpr_2fGUcGQ0E9lDGM6mRKT6bCigo75,A,Sms,1
mpr_2fGURtVSl5NYMCm42nywa2miXTe,C,Whatsapp,1
mpr_2fGY1fVyFgs8EgTvzFmFsebRhm9,A,Sms,0
mpr_2fGb6dssUieF0P0nFNshhB5988v,B,Sms,1
mpr_2fGcBwaZxEKzeVVlCtBBwPx6cuV,A,Sms,1
mpr_2fGeVH72XGfTEwLLpdMRcXDCUrs,A,Sms,1
mpr_2fGfuf8kMiFSaxAyy68BTwbz8WB,A,Sms,1
mpr_2fGgKnqLK3kyT3lHsVAq2ubbmou,A,Sms,1
mpr_2fGfK7A3Rj6viuF13neBWHY8poq,A,Sms,1
mpr_2fGjWN38RyFqSSTT18vwwdT9V9j,C,Whatsapp,1
mpr_2fGjskQyvlj4p0cLUYIvDt1FBdw,A,Sms,1
mpr_2fGmOGtzM3er3LQYGvF319PVCcl,A,Sms,0
mpr_2fGmom1NyyNAFvUD97fSPB8PSyg,C,Sms,1
mpr_2fGnkdwwfAaEManx2gi1P8ndnem,B,Sms,1
mpr_2fGq7KOcHExoBxUqCxBNdsLjIhD,A,Sms,0
mpr_2fGqZ1exicKel9GYjb4do5DCb0Q,C,Sms,1
mpr_2fGqazB4zhd23j7ZzzhWhHsfuIO,C,Sms,1
mpr_2fGswwSLnJ9xOlmUkXnE6hx3h7I,A,Sms,1
mpr_2fGu8pgKlVVxPoimXS2pZDEfJuE,C,Whatsapp,1
mpr_2fGtevBhkKvWueNbMFs8mFvXcKy,A,Sms,1
mpr_2fG5d9JYTf31xuMrIqaI8rqA3Ze,C,Whatsapp,1
mpr_2fGvncjQosQI1F2ji2h0JJXigUf,B,Sms,1
mpr_2fGxiCHv2cTWWkQ6Vy62TYs0z44,B,Sms,1
mpr_2fGxVwog4dAJ0DVzQp29lQIrDba,A,Sms,1
mpr_2fGxmJ1pk6Ts2Et3Mp7s0cLT5Zl,B,Sms,1
mpr_2fGxwBiMw0ywoPwivWW2iojuvha,A,Sms,1
mpr_2fGy1bUH0YGczccDYtOJkv6OocJ,C,Whatsapp,1
mpr_2fGy3osFEh9DNc9fcfKPUzVGsNc,C,Whatsapp,1
mpr_2fGyOy9SL2hi1zpJM3ibV4MM4kr,C,Sms,1
mpr_2fH0bFA3o2M76Cae3S153xJmgbj,B,Sms,0
mpr_2fH0uzbO46Zs0eOeQoxLYZYpRpH,B,Sms,1
mpr_2fH2mbZx27iB7pTLPzMF3IpbxPI,B,Sms,1
mpr_2fH0Z8PX64eEtncl6jhmrOEUetO,C,Whatsapp,1
mpr_2fH3E3qcyIwbyUVJ8erAlvJzqUn,A,Sms,0
mpr_2fH4Rz1yPbwgRg94UcLxKQYeDHm,C,Sms,1
mpr_2fH5CiroFjeHG19yVfb5916yav8,A,Sms,1
mpr_2fH6XxJyzVYvm0elLoNPzvsYPzV,B,Whatsapp,1
mpr_2fH7judDLBOUGcWprt5oth17WBt,A,Sms,1
mpr_2fH9KnUfcehdV7XId69E9p6y6MP,B,Sms,1
mpr_2fHAASbpCklWtQIaHE1OLlpaY3J,A,Sms,0
mpr_2fHAm1mLJQNPalvMEkgYjXqtx9c,C,Whatsapp,1
mpr_2fHCLhAJmuLk7yEpLIC5o3gyqav,B,Sms,1
mpr_2fHFQmaQxY9JDfK20jDhLoaWWM2,A,Sms,1
mpr_2fHH8IHPWqVP1LHB10leIEyuQxl,C,Whatsapp,1
mpr_2fHIbHbSBPEmaaOrVjPydxflPlq,B,Sms,1
mpr_2fHIYrBzkkYeyKrigcMpK5w3Xl2,A,Sms,0
mpr_2fHJccfHhwFAWTLRFGZ2zmGDAvC,A,Sms,1
mpr_2fHLulCgvGDav0rWhEEcXn9UUg5,B,Sms,1
mpr_2fHMZxDgUSaOtNGf4oKUCm00Yyk,A,Sms,1
mpr_2fHMfmqezD2qngOS9fQkhhcHmp6,C,Sms,1
mpr_2fHP6ngjEPNe5ZuMfdRMkYyT5nH,C,Whatsapp,0
mpr_2fHSN5bRqCXzfwgvu6qA4wrUGez,C,Whatsapp,1
